NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32	Z33	V33
FOX CHAPEL AREA SD	Pennsylvania	PA	3	14	1	85501000	1038000	14472000	69991000	83446000	42152000	31810000	4245
NORTH SCHUYLKILL SD	Pennsylvania	PA	3	14	1	25496000	1056000	13338000	11102000	25447000	11288000	8189000	1947
NORTH STAR SD	Pennsylvania	PA	3	14	1	17863000	1229000	11255000	5379000	16733000	6904000	4715000	1159
FRANKLIN AREA SD	Pennsylvania	PA	3	14	1	31652000	1653000	17565000	12434000	30030000	13574000	9802000	1980
FRANKLIN REGIONAL SD	Pennsylvania	PA	3	14	1	51351000	640000	13445000	37266000	48559000	24207000	18256000	3622
FRAZIER SD	Pennsylvania	PA	3	14	1	16053000	654000	10219000	5180000	24553000	6960000	4982000	1247
FREEDOM AREA SD	Pennsylvania	PA	3	14	1	20618000	867000	11885000	7866000	22652000	8842000	5927000	1514
FREEPORT AREA SD	Pennsylvania	PA	3	14	1	26380000	537000	11208000	14635000	25780000	12111000	8549000	1887
GALETON AREA SD	Pennsylvania	PA	3	14	1	6692000	232000	3226000	3234000	6914000	3271000	2254000	382
GARNET VALLEY SD	Pennsylvania	PA	3	14	1	91134000	566000	15063000	75505000	95779000	44865000	33301000	4838
GATEWAY SD	Pennsylvania	PA	3	14	1	68697000	1736000	16390000	50571000	73742000	31890000	23700000	3498
GENERAL MCLANE SD	Pennsylvania	PA	3	14	1	30986000	836000	16242000	13908000	26845000	14642000	9938000	2197
